mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.01, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""exact_linesearch""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0, ""policy"": ""bb1""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""constant""}"
quadratic_benchmark,,,,,,,,,,"{""stability"": 1.0, ""sigma"": 0.0001, ""policy"": ""exact_linesearch""}"
